assets.artemis_id,Custom.metrics,Count of assets.symbol
axelar,7D_PRICE_CHG_PCT,1
axelar,ATH,1
axelar,ATH_CHG_PCT,1
axelar,ATH_DATE,1
axelar,ATL,1
axelar,ATL_CHG_PCT,1
axelar,ATL_DATE,1
axelar,CIRC_SUPPLY,1
axelar,CMC,1
axelar,DAILY_TXNS,1
axelar,DAU,1
axelar,FDMC,1
axelar,FDV,1
axelar,MAX_SUPPLY,1
axelar,MC,1
axelar,NEW_TWITTER_FOLLOWERS,1
axelar,PRICE,1
axelar,TOT_SUPPLY,1
axelar,TVL,1
axelar,TWITTER_FOLLOWERS,1
axelar,WEEKLY_COMMITS_CORE,1
axelar,WEEKLY_COMMITS_SUB,1
axelar,WEEKLY_DEVS_CORE,1
axelar,WEEKLY_DEVS_SUB,1
axie-infinity,24H_MC_CHG,1
axie-infinity,24H_MC_CHG_PCT,1
axie-infinity,24H_PRICE_CHG,1
axie-infinity,24H_PRICE_CHG_PCT,1
axie-infinity,24H_PRICE_HIGH,1
axie-infinity,24H_PRICE_LOW,1
axie-infinity,24H_VOLUME,1
axie-infinity,30D_PRICE_CHG_PCT,1
axie-infinity,30D_VOLUME,1
axie-infinity,7D_PRICE_CHG_PCT,1
axie-infinity,ATH,1
axie-infinity,ATH_CHG_PCT,1
axie-infinity,ATH_DATE,1
axie-infinity,ATL,1
axie-infinity,ATL_CHG_PCT,1
axie-infinity,ATL_DATE,1
axie-infinity,CIRC_SUPPLY,1
axie-infinity,CMC,1
axie-infinity,FDMC,1
axie-infinity,FDV,1
axie-infinity,MAX_SUPPLY,1
axie-infinity,MC,1
axie-infinity,NEW_TWITTER_FOLLOWERS,1
axie-infinity,PRICE,1
axie-infinity,TOT_SUPPLY,1
axie-infinity,TWITTER_FOLLOWERS,1
axie-infinity,WEEKLY_COMMITS_CORE,1
axie-infinity,WEEKLY_DEVS_CORE,1
base,DAILY_TXNS,1
base,DAU,1
base,DEX_VOLUMES,1
base,FEES,1
base,NEW_TWITTER_FOLLOWERS,1
base,REVENUE,1
base,STABLECOIN_GROWTH,1
base,STABLECOIN_MC,1
base,TVL,1
base,TWITTER_FOLLOWERS,1
base,WEEKLY_CONTRACTS_DEPLOYED,1
base,WEEKLY_UNIQUE_CONTRACT_DEPLOYERS,1
base_bridge,BRIDGE_DAU,1
base_bridge,BRIDGE_VOLUME,1
base_bridge,CUMULATIVE_NET_FLOW,1
base_bridge,INFLOW,1
base_bridge,OUTFLOW,1
base_bridge,TVL,1
benqi_finance,24H_MC_CHG,1
benqi_finance,24H_MC_CHG_PCT,1
benqi_finance,24H_PRICE_CHG,1
benqi_finance,24H_PRICE_CHG_PCT,1
benqi_finance,24H_PRICE_HIGH,1
benqi_finance,24H_PRICE_LOW,1
benqi_finance,24H_VOLUME,1
benqi_finance,30D_PRICE_CHG_PCT,1
benqi_finance,30D_VOLUME,1
benqi_finance,7D_PRICE_CHG_PCT,1
benqi_finance,ATH,1
benqi_finance,ATH_CHG_PCT,1
benqi_finance,ATH_DATE,1
benqi_finance,ATL,1
benqi_finance,ATL_CHG_PCT,1
benqi_finance,ATL_DATE,1
benqi_finance,BORROWS,1
benqi_finance,CIRC_SUPPLY,1
benqi_finance,CMC,1
benqi_finance,DEPOSITS,1
benqi_finance,FDMC,1
benqi_finance,FDV,1
benqi_finance,MAX_SUPPLY,1
benqi_finance,MC,1
benqi_finance,PRICE,1
benqi_finance,TOT_SUPPLY,1
benqi_finance,WEEKLY_COMMITS_CORE,1
benqi_finance,WEEKLY_DEVS_CORE,1
bitcoin,24H_MC_CHG,1
bitcoin,24H_MC_CHG_PCT,1
bitcoin,24H_PRICE_CHG,1
bitcoin,24H_PRICE_CHG_PCT,1
bitcoin,24H_PRICE_HIGH,1
bitcoin,24H_PRICE_LOW,1
bitcoin,24H_VOLUME,1
bitcoin,30D_PRICE_CHG_PCT,1
bitcoin,30D_VOLUME,1
bitcoin,7D_PRICE_CHG_PCT,1
bitcoin,ATH,1
bitcoin,ATH_CHG_PCT,1
bitcoin,ATH_DATE,1
bitcoin,ATL,1
bitcoin,ATL_CHG_PCT,1
bitcoin,ATL_DATE,1
bitcoin,AVG_TXN_FEE,1
bitcoin,CIRC_SUPPLY,1
bitcoin,CMC,1
bitcoin,DAILY_TXNS,1
bitcoin,DAU,1
bitcoin,DEX_VOLUMES,1
bitcoin,FDMC,1
bitcoin,FDV,1
bitcoin,FEES,1
bitcoin,MAX_SUPPLY,1
bitcoin,MC,1
bitcoin,NEW_TWITTER_FOLLOWERS,1
bitcoin,PRICE,1
bitcoin,REVENUE,1
bitcoin,TOT_SUPPLY,1
bitcoin,TVL,1
bitcoin,TWITTER_FOLLOWERS,1
bitcoin,WEEKLY_COMMITS_CORE,1
bitcoin,WEEKLY_COMMITS_SUB,1
bitcoin,WEEKLY_DEVS_CORE,1
bitcoin,WEEKLY_DEVS_SUB,1
bluefin,24H_MC_CHG,1
bluefin,24H_MC_CHG_PCT,1
bluefin,24H_PRICE_CHG,1
bluefin,24H_PRICE_CHG_PCT,1
bluefin,24H_PRICE_HIGH,1
bluefin,24H_PRICE_LOW,1
bluefin,24H_VOLUME,1
bluefin,30D_PRICE_CHG_PCT,1
bluefin,30D_VOLUME,1
bluefin,7D_PRICE_CHG_PCT,1
bluefin,ATH,1
bluefin,ATH_CHG_PCT,1
bluefin,ATH_DATE,1
bluefin,ATL,1
bluefin,ATL_CHG_PCT,1
